Row_ID,Brand,Model,Battery,km_of_range,0-100,Top_Speed,Efficiency,Fastcharge,Germany_price_before_incentives,Netherlands_price_before_incentives,UK_price_after_incentives,Drive_Configuration,Tow_Hitch,Towing_capacity_in_kg,Number_of_seats,Estimated_US_Value,Range
33,AUDI,Q6 e-tron quattro,94.9,170,5.9,210,206,920,74700,80000,68975,All Wheel Drive,Towbar possible,2400,5,85942,3
34,BYD,SEAL U 71.8 kWh Comfort,71.8,126,9.3,175,211,320,0,42990,0,Front Wheel Drive,Towbar not possible,0,5,24016,1
35,MG,ZS EV Long Range,68.3,105,8.4,175,185,420,37990,40185,32995,Front Wheel Drive,Towbar possible,500,5,41111,2
36,TOYOTA,bZ4X FWD,64.0,144,7.5,160,188,510,47490,45995,46110,Front Wheel Drive,Towbar possible,750,5,57453,1
37,RENAULT,5 E-Tech 52kWh 150hp,52.0,97,7.5,150,158,420,32000,32000,28000,Front Wheel Drive,Towbar possible,500,5,34888,1
38,BMW,i4 M50,80.7,170,3.9,225,179,700,70800,76786,71085,All Wheel Drive,Towbar possible,1600,5,88571,2
39,RENAULT,Megane E-Tech EV60 220hp,60.0,113,7.4,160,158,530,46600,39370,36995,Front Wheel Drive,Towbar possible,900,5,46095,2
40,ROLLS-ROYCE,Spectre,102.0,828,4.5,250,219,540,379015,396275,330000,All Wheel Drive,Towbar not possible,0,4,411180,3
41,KIA,EV6 Long Range 2WD,74.0,126,7.3,185,180,1070,51990,50995,45245,Rear Wheel Drive,Towbar possible,1600,5,56375,2
42,HONDA,e:Ny1,61.9,147,7.6,160,185,300,47590,48750,44995,Front Wheel Drive,Towbar not possible,0,5,56063,1
43,VOLKSWAGEN,ID.3 Pro,58.0,122,7.3,160,166,450,39995,44990,37115,Rear Wheel Drive,Towbar possible,0,5,46245,1
44,RENAULT,Zoe ZE50 R110,52.0,114,11.4,135,165,230,36840,34895,0,Front Wheel Drive,Towbar not possible,0,5,19494,1
45,NISSAN,Leaf,39.0,144,7.9,144,166,230,33400,35090,28995,Front Wheel Drive,Towbar not possible,0,5,36127,1
46,LUCID,Air Grand Touring,112.0,196,3.0,270,168,840,129000,132000,0,All Wheel Drive,Towbar not possible,0,5,73743,3
47,HONGQI,E-HS9 99 kWh,90.0,216,4.9,200,243,430,0,79995,0,All Wheel Drive,Towbar possible,1500,5,44690,2
48,CUPRA,Born 170 kW - 77 kWh,77.0,105,7.0,160,171,630,46450,46989,41975,Rear Wheel Drive,Towbar not possible,0,4,52300,2
49,ZEEKR,001 Long Range RWD,94.0,116,7.2,200,179,710,60970,60490,0,Rear Wheel Drive,Towbar possible,1500,5,33793,3
50,HYUNDAI,IONIQ 6 Long Range 2WD,74.0,107,7.4,185,149,1290,54000,50895,47040,Rear Wheel Drive,Towbar possible,1500,5,58611,3
51,HYUNDAI,IONIQ 5 Long Range 2WD,74.0,132,7.3,185,190,1020,47900,52895,46945,Rear Wheel Drive,Towbar possible,1600,5,58493,2
52,PORSCHE,Macan 4 Electric,95.0,174,5.2,220,196,970,84100,88899,69800,All Wheel Drive,Towbar possible,2000,5,86970,3
53,BMW,i7 xDrive60,101.7,272,4.7,240,199,760,139900,145453,113970,All Wheel Drive,Towbar possible,2000,5,142006,3
54,BMW,i4 eDrive35,67.0,134,6.0,190,156,580,56500,59362,49995,Rear Wheel Drive,Towbar possible,1600,5,62293,2
55,HYUNDAI,IONIQ 5 N,80.0,194,3.4,260,208,950,74900,73995,65000,All Wheel Drive,Towbar not possible,0,5,80990,2
56,VOLKSWAGEN,ID.7 Pro,77.0,126,6.5,180,162,730,56995,57990,55570,Rear Wheel Drive,Towbar possible,1000,5,69240,3
57,MERCEDES-BENZ,EQB 250+,70.5,136,8.9,160,170,490,53514,54966,52800,Front Wheel Drive,Towbar possible,1400,7,65788,2
58,MG,MG4 Electric 51 kWh,50.8,109,7.7,160,169,380,34990,32285,26995,Rear Wheel Drive,Towbar possible,500,5,33635,1
59,AUDI,Q4 e-tron 45,77.0,132,6.7,180,183,630,52950,54865,50745,Rear Wheel Drive,Towbar possible,1000,5,63228,2
60,KIA,EV9 99.8 kWh AWD,96.0,170,6.0,200,221,830,76490,71495,0,All Wheel Drive,Towbar possible,2500,7,39941,2
61,SMART,#1 Pro+,62.0,126,6.7,180,185,520,42490,42935,35950,Rear Wheel Drive,Towbar possible,1600,5,44793,1
62,AUDI,Q8 e-tron 55 quattro,106.0,170,5.6,200,210,640,85300,82985,77800,All Wheel Drive,Towbar possible,1800,5,96938,3
63,NISSAN,Ariya 87kWh,87.0,117,7.6,160,193,540,58990,47990,44645,Front Wheel Drive,Towbar possible,750,5,55627,2
64,FORD,Mustang Mach-E ER RWD,91.0,126,7.0,180,190,420,58500,54400,59830,Rear Wheel Drive,Towbar possible,1500,5,74548,3
65,BMW,iX xDrive50,105.2,213,4.6,200,208,680,100100,105097,102755,All Wheel Drive,Towbar possible,2500,5,128032,3
66,VOLVO,EX30 Single Motor,49.0,136,5.7,180,178,420,36590,36795,33795,Rear Wheel Drive,Towbar possible,1000,5,42108,1
67,BMW,iX1 eDrive20,64.7,127,8.3,170,166,520,47900,48316,45465,Front Wheel Drive,Towbar possible,750,5,56649,2
68,HYUNDAI,IONIQ 6 Long Range AWD,74.0,135,5.1,185,168,1150,61100,59395,50540,All Wheel Drive,Towbar possible,1500,5,62972,2
69,KIA,EV6 GT,74.0,198,3.5,260,206,940,72990,69295,62645,All Wheel Drive,Towbar possible,1800,5,78055,2
70,OPEL,Astra Electric,50.8,131,9.2,170,159,510,41990,39999,37795,Front Wheel Drive,Towbar possible,0,5,47092,1
71,MERCEDES-BENZ,EQA 250,66.5,129,8.6,160,168,570,50777,0,0,Front Wheel Drive,Towbar possible,1500,5,53823,2
72,PEUGEOT,e-3008 98 kWh Long Range,98.0,111,8.9,170,192,660,55000,55000,52000,Front Wheel Drive,Towbar possible,1200,5,64792,3
73,MERCEDES-BENZ,EQS 450+,108.4,175,6.1,210,171,950,109551,112720,0,Rear Wheel Drive,Towbar possible,750,5,62972,3
74,POLESTAR,2 Long Range Single Motor,79.0,112,6.2,205,168,700,49975,51200,48950,Rear Wheel Drive,Towbar possible,1500,5,60991,3
75,PEUGEOT,e-3008 73 kWh,73.0,129,8.7,170,190,440,48650,48190,45850,Front Wheel Drive,Towbar possible,1250,5,57129,2
76,VOLKSWAGEN,ID. Buzz Pro,77.0,192,10.2,145,223,480,64581,66160,58915,Rear Wheel Drive,Towbar possible,1000,5,73408,1
77,HYUNDAI,IONIQ 5 Long Range AWD,74.0,154,5.1,185,192,1010,59200,60995,50445,All Wheel Drive,Towbar possible,1600,5,62854,2
78,JEEP,Avenger Electric,50.8,127,9.0,150,164,500,38500,39500,34800,Front Wheel Drive,Towbar not possible,0,5,43360,1
79,HYUNDAI,IONIQ 5 Standard Range 2WD,54.0,162,8.5,185,183,720,43900,49295,43445,Rear Wheel Drive,Towbar possible,750,5,54132,1
80,ZEEKR,001 Performance AWD,94.0,127,3.8,200,188,670,63970,63490,0,All Wheel Drive,Towbar possible,2000,5,35469,3
81,BMW,i5 eDrive40 Sedan,81.2,165,6.0,193,173,750,70200,77572,74105,Rear Wheel Drive,Towbar possible,1500,5,92334,3
82,CITROEN,e-C4,46.3,127,9.7,150,160,460,36040,37830,31995,Front Wheel Drive,Towbar not possible,0,5,39865,1
83,FORD,Explorer Extended Range RWD,77.0,115,6.4,180,179,640,49500,45950,45875,Rear Wheel Drive,Towbar possible,1000,5,57160,2
84,KIA,EV6 Long Range AWD,74.0,146,5.2,185,185,1050,55980,59995,51745,All Wheel Drive,Towbar possible,1600,5,64474,2
85,MAZDA,MX-30,30.0,212,9.7,140,176,170,35990,36440,31250,Front Wheel Drive,Towbar not possible,0,5,38937,1
86,ALFA ROMEO,Junior Elettrica 54 kWh Veloce,50.8,152,7.0,150,167,490,46000,45000,42000,Front Wheel Drive,Towbar not possible,0,5,52332,1
87,VOLVO,EX30 Twin Motor Performance,64.0,145,3.6,180,191,560,48490,49995,40995,All Wheel Drive,Towbar possible,1600,5,51079,1
88,MINI,Countryman E,64.7,117,8.6,170,168,520,43500,43490,42080,Front Wheel Drive,Towbar possible,750,5,52431,2
89,NIO,ET5 100 kWh,90.0,140,4.0,200,180,520,68500,71700,0,All Wheel Drive,Towbar possible,1400,5,40055,3
90,VOLKSWAGEN,ID. Buzz LWB Pro S,86.0,199,8.0,160,232,470,73000,73000,65000,Rear Wheel Drive,Towbar possible,0,7,80990,2
91,TESLA,Model X Dual Motor,95.0,226,3.9,250,200,660,100970,100993,105000,All Wheel Drive,Towbar possible,2250,7,130830,3
92,VOLKSWAGEN,ID.7 Pro S,86.0,120,7.0,180,165,800,60000,60000,59000,Rear Wheel Drive,Towbar not possible,0,5,73514,3
93,MG,MG4 Electric 77 kWh,74.4,101,6.5,180,175,430,45990,41285,36495,Rear Wheel Drive,Towbar possible,500,5,45472,2
94,DACIA,Spring Electric 45,25.0,109,19.1,125,152,180,18000,18950,14995,Front Wheel Drive,Towbar not possible,0,4,18683,1
95,MG,MG5 Electric Long Range,57.4,112,7.7,185,171,330,38490,38885,30995,Front Wheel Drive,Towbar possible,500,5,38619,1
96,KIA,EV9 99.8 kWh AWD GT-Line,96.0,193,5.3,200,226,810,82380,78895,73245,All Wheel Drive,Towbar possible,2500,7,91263,2
97,MERCEDES-BENZ,EQV 300 Long,90.0,266,12.1,160,286,320,79048,88626,0,Front Wheel Drive,Towbar not possible,0,7,49511,1
98,BYD,SEAL U 87 kWh Design,87.0,114,9.6,175,215,370,0,45990,0,Front Wheel Drive,Towbar not possible,0,5,25692,2
99,BYD,DOLPHIN 44.9 kWh Active,44.9,115,12.3,150,176,260,28000,29990,26000,Front Wheel Drive,Towbar not possible,0,5,32396,1
100,SMART,#1 Brabus,62.0,152,3.9,180,191,500,48990,48895,43450,All Wheel Drive,Towbar possible,1600,5,54138,1
101,LOTUS,Eletre,109.0,202,4.5,250,220,1040,96990,98690,90805,All Wheel Drive,Towbar possible,2250,5,113143,3
102,RENAULT,Zoe ZE50 R135,52.0,117,9.5,140,168,230,37840,36195,29995,Front Wheel Drive,Towbar not possible,0,5,37373,1
103,MAXUS,MIFA 9,84.0,197,9.2,180,230,420,68990,0,65290,Front Wheel Drive,Towbar possible,1000,7,81351,2
104,LEXUS,RZ 450e,64.0,218,5.6,160,200,480,68000,67495,64500,All Wheel Drive,Towbar possible,750,5,80367,1
105,MERCEDES-BENZ,EQE 350+,90.6,155,6.4,210,171,790,0,82028,0,Rear Wheel Drive,Towbar possible,750,5,45825,3
106,BMW,i5 M60 xDrive Sedan,81.2,254,3.8,230,193,670,99500,108427,97745,All Wheel Drive,Towbar possible,2000,5,121790,2
107,CUPRA,Tavascan VZ,77.0,141,5.6,180,179,640,58000,60000,55000,All Wheel Drive,Towbar not possible,0,5,68530,2
108,XPENG,G9 RWD Standard Range,75.8,148,6.4,200,192,830,57600,59188,0,Rear Wheel Drive,Towbar possible,1500,5,33065,2
109,SUBARU,Solterra AWD,64.0,179,6.9,160,200,480,57490,56395,49995,All Wheel Drive,Towbar possible,750,5,62293,1
110,XPENG,G6 RWD Long Range,87.5,102,6.7,200,179,980,50000,50000,0,Rear Wheel Drive,Towbar possible,0,5,27933,3
111,MINI,Cooper SE,49.8,126,6.7,170,163,440,36900,38990,34500,Front Wheel Drive,Towbar not possible,0,4,42987,1
112,HYUNDAI,IONIQ 6 Standard Range 2WD,54.0,123,8.8,185,148,900,43900,45895,0,Rear Wheel Drive,Towbar possible,750,5,25639,2
113,MASERATI,GranTurismo Folgore,83.0,480,2.7,325,198,920,198212,199250,179950,All Wheel Drive,Towbar not possible,0,4,224217,2
114,VOLVO,EX40 Single Motor ER,79.0,135,7.3,180,198,600,55490,51995,47705,Rear Wheel Drive,Towbar possible,1500,5,59440,2
115,TOYOTA,bZ4X AWD,64.0,181,6.9,160,203,470,57390,52995,52510,All Wheel Drive,Towbar possible,750,5,65427,1
116,BMW,iX2 xDrive30,64.7,160,5.6,180,170,510,56500,59350,57445,All Wheel Drive,Towbar possible,1200,5,71576,2
117,FORD,Explorer Extended Range AWD,79.0,131,5.3,180,184,690,53500,53950,53975,All Wheel Drive,Towbar possible,1200,5,67252,2
118,SKODA,Enyaq Coupe 85,77.0,109,6.7,180,160,720,51150,52990,46440,Rear Wheel Drive,Towbar possible,1000,5,57864,3
119,MG,ZS EV Standard Range,49.0,132,8.6,175,185,250,33990,35885,30495,Front Wheel Drive,Towbar possible,500,5,37996,1
120,FISKER,Ocean Extreme,106.5,132,3.9,205,217,580,63590,63590,57900,All Wheel Drive,Towbar possible,1820,5,72143,3
121,VOLKSWAGEN,ID.7 Tourer Pro,77.0,130,6.6,180,167,710,54795,58990,57000,Rear Wheel Drive,Towbar possible,1000,5,71022,3
122,RENAULT,Twingo Electric,21.3,207,12.6,135,158,0,28000,0,0,Rear Wheel Drive,Towbar not possible,0,4,29680,1
123,POLESTAR,4 Long Range Single Motor,94.0,133,7.4,180,190,670,63200,64800,59990,Rear Wheel Drive,Towbar possible,1500,5,74747,3
124,POLESTAR,4 Long Range Dual Motor,94.0,158,3.8,200,202,630,71200,72800,66990,All Wheel Drive,Towbar possible,2000,5,83469,3
125,FISKER,Ocean Ultra,106.5,115,4.2,200,209,610,58900,58990,50900,All Wheel Drive,Towbar possible,1820,5,63421,3
126,TESLA,Model X Plaid,95.0,271,2.7,262,209,630,115970,115993,120000,All Wheel Drive,Towbar possible,2250,7,149520,3
127,MG,MG4 Electric XPOWER,61.7,137,3.8,200,193,560,46990,42285,36495,All Wheel Drive,Towbar possible,500,5,45472,1
128,ALFA ROMEO,Junior Elettrica 54 kWh,50.8,127,9.0,150,161,500,39500,39000,36000,Front Wheel Drive,Towbar not possible,0,5,44856,1
129,OPEL,Mokka-e 50 kWh,46.3,154,9.2,150,178,420,40650,36999,36610,Front Wheel Drive,Towbar not possible,0,5,45616,1
130,KIA,EV9 99.8 kWh RWD,96.0,159,9.4,185,213,850,72490,67995,64995,Rear Wheel Drive,Towbar possible,900,7,80983,2
131,PEUGEOT,e-208 50 kWh,46.3,127,9.0,150,160,460,37475,35870,32650,Front Wheel Drive,Towbar not possible,0,5,40681,1
132,MERCEDES-BENZ,EQE 300,89.0,137,7.3,210,170,660,67187,69928,68810,Rear Wheel Drive,Towbar possible,750,5,85737,3
133,POLESTAR,2 Standard Range Single Motor,67.0,118,6.4,205,165,480,46275,44950,44950,Rear Wheel Drive,Towbar possible,1500,5,56007,2
134,VOLKSWAGEN,ID.7 Tourer GTX,86.0,142,6.0,180,179,770,65000,65000,65000,All Wheel Drive,Towbar possible,0,5,80990,3
135,POLESTAR,2 Long Range Dual Motor,79.0,125,4.5,205,176,670,52275,55200,52950,All Wheel Drive,Towbar possible,1500,5,65975,2
136,MASERATI,GranCabrio Folgore,83.0,530,2.8,290,210,870,206713,208250,185610,All Wheel Drive,Towbar not possible,0,4,231270,2
137,HYUNDAI,Kona Electric 48 kWh,48.4,138,8.8,160,164,280,41990,39995,34995,Front Wheel Drive,Towbar possible,300,5,43603,1
138,SMART,#3 Brabus,62.0,153,3.7,180,185,520,50990,50895,45000,All Wheel Drive,Towbar possible,1600,5,56070,1
139,PORSCHE,Macan Turbo Electric,95.0,239,3.3,260,198,960,114600,121000,95000,All Wheel Drive,Towbar possible,2000,5,118370,3
140,VOLKSWAGEN,ID.4 Pro 4MOTION,77.0,119,6.6,180,181,630,49020,51990,0,All Wheel Drive,Towbar possible,1200,5,29044,2
141,LANCIA,Ypsilon,48.1,131,8.5,150,158,470,40000,40000,0,Front Wheel Drive,Towbar not possible,0,5,22346,1
142,VOLKSWAGEN,ID.7 Tourer Pro S,86.0,126,7.0,180,170,810,61000,61000,60000,Rear Wheel Drive,Towbar possible,0,5,74760,3
143,FIAT,600e,50.8,121,9.0,150,167,490,36490,35990,32995,Front Wheel Drive,Towbar not possible,0,5,41111,1
144,NISSAN,Leaf e+,59.0,121,6.9,157,174,240,41100,0,0,Front Wheel Drive,Towbar not possible,0,5,43566,1
145,PEUGEOT,e-5008 73 kWh,73.0,143,9.0,170,197,430,52000,52000,48000,Front Wheel Drive,Towbar possible,1000,7,59808,2
146,MERCEDES-BENZ,EQB 350 4MATIC,66.5,187,6.2,160,193,500,58197,69728,56810,All Wheel Drive,Towbar possible,1700,7,70785,1
147,PORSCHE,Taycan Plus,97.0,193,4.8,230,173,1230,107224,113044,90954,Rear Wheel Drive,Towbar not possible,0,5,113328,3
148,VOLKSWAGEN,ID.5 Pro,77.0,118,6.7,180,169,680,48970,53990,50940,Rear Wheel Drive,Towbar possible,1000,5,63471,3
149,MERCEDES-BENZ,EQA 250+,70.5,129,8.6,160,168,500,52205,52546,49750,Front Wheel Drive,Towbar possible,1500,5,61988,2
150,FORD,Mustang Mach-E ER AWD,91.0,156,5.8,180,204,390,65900,66940,65405,All Wheel Drive,Towbar possible,1500,5,81494,2
151,AUDI,Q8 e-tron Sportback 55 quattro,106.0,168,5.6,200,202,660,87550,85385,80300,All Wheel Drive,Towbar possible,1800,5,100053,3
152,XPENG,G9 RWD Long Range,93.1,130,6.4,200,194,1120,61600,63188,0,Rear Wheel Drive,Towbar possible,1500,5,35300,3
153,RENAULT,5 E-Tech 40kWh 95hp,40.0,97,10.0,140,154,0,25000,25000,22000,Front Wheel Drive,Towbar possible,500,5,27412,1
154,GWM,ORA 3 48 kWh,45.4,146,8.3,160,175,240,38990,0,31995,Front Wheel Drive,Towbar not possible,0,5,39865,1
155,NIO,ET7 100 kWh,90.0,183,3.8,200,178,530,90900,93900,0,All Wheel Drive,Towbar possible,2000,5,52458,3
156,KIA,EV6 Standard Range 2WD,54.0,148,8.5,185,177,750,46990,43495,0,Rear Wheel Drive,Towbar possible,750,5,24298,1
157,SKODA,Enyaq 60,58.0,133,8.7,160,173,450,44200,44990,38970,Rear Wheel Drive,Towbar possible,1000,5,48556,1
158,ZEEKR,X Privilege AWD,64.0,143,3.8,180,186,580,50470,48490,0,All Wheel Drive,Towbar possible,1600,5,27089,1
159,PEUGEOT,e-2008 54 kWh,50.8,136,9.1,150,169,480,39450,41270,36350,Front Wheel Drive,Towbar not possible,0,5,45292,1
160,VOLKSWAGEN,ID.3 Pro S - 4 Seats,77.0,106,7.9,160,169,680,47595,47990,42870,Rear Wheel Drive,Towbar possible,0,4,53416,3
161,NIO,EL6 100 kWh,90.0,174,4.5,200,207,630,74500,76900,0,All Wheel Drive,Towbar possible,1200,5,42960,2
162,VOYAH,Free 106 kWh,100.0,154,4.4,200,208,360,0,74150,0,All Wheel Drive,Towbar possible,2000,5,41424,3
163,VOLKSWAGEN,ID. Buzz GTX,79.0,229,6.5,160,236,520,75000,75000,70000,All Wheel Drive,Towbar possible,1800,5,87220,1
164,DACIA,Spring Electric 65 Extreme,25.0,153,13.7,125,156,170,24550,0,0,Front Wheel Drive,Towbar not possible,0,4,26023,1
165,MERCEDES-BENZ,EQS 580 4MATIC,108.4,267,4.3,210,184,880,141705,173825,0,All Wheel Drive,Towbar possible,750,5,97109,3
166,LUCID,Air Touring,92.0,173,3.2,250,159,970,99000,102000,0,All Wheel Drive,Towbar not possible,0,5,56983,3
167,BMW,iX M60,105.2,286,3.8,250,217,650,136100,138383,122775,All Wheel Drive,Towbar possible,2500,5,152977,3
168,PORSCHE,Taycan,82.3,212,4.8,230,170,1070,101500,107000,86500,Rear Wheel Drive,Towbar not possible,0,5,107779,3
169,PORSCHE,Taycan Turbo GT,97.0,494,2.3,290,204,1050,240000,249900,186300,All Wheel Drive,Towbar not possible,0,5,232129,3
170,BMW,iX2 eDrive20,64.7,134,8.6,170,164,530,49400,49976,51615,Front Wheel Drive,Towbar possible,750,5,64312,2
171,OPEL,Corsa Electric 50 kWh,46.3,121,8.7,150,157,470,34650,34999,32445,Front Wheel Drive,Towbar not possible,0,5,40426,1
172,PEUGEOT,e-308,50.8,150,9.8,170,169,450,44765,42070,42025,Front Wheel Drive,Towbar not possible,0,5,52363,1
173,VOLKSWAGEN,ID.4 Pure,52.0,150,9.0,160,182,360,40335,44990,0,Rear Wheel Drive,Towbar possible,1000,5,25134,1
174,PEUGEOT,e-5008 98 kWh Long Range,98.0,125,9.7,170,200,640,60000,60000,55000,Front Wheel Drive,Towbar possible,0,7,68530,3
175,MG,Marvel R,70.0,125,7.9,200,192,400,46990,44485,0,Rear Wheel Drive,Towbar possible,750,5,24851,2
176,JAGUAR,I-Pace EV400,84.7,235,4.8,200,223,360,92400,95450,69995,All Wheel Drive,Towbar possible,750,5,87213,2
177,AUDI,Q8 e-tron 50 quattro,89.0,175,6.0,200,209,660,74400,71385,67800,All Wheel Drive,Towbar possible,1800,5,84478,2
178,VOLKSWAGEN,ID.4 GTX,77.0,140,5.4,180,183,630,53255,60990,53865,All Wheel Drive,Towbar possible,1200,5,67115,2
179,DACIA,Spring Electric 65,25.0,124,13.7,125,156,170,20000,20950,15995,Front Wheel Drive,Towbar not possible,0,4,19929,1
180,XPENG,G6 RWD Standard Range,66.0,120,6.9,200,176,750,45000,45000,0,Rear Wheel Drive,Towbar possible,0,5,25139,2
181,NISSAN,Ariya 63kWh,63.0,137,7.5,160,188,450,47490,44990,39645,Front Wheel Drive,Towbar possible,750,5,49397,1
182,VOLVO,EC40 Single Motor ER,79.0,137,7.3,180,188,630,57190,53495,54305,Rear Wheel Drive,Towbar possible,1500,5,67664,2
183,CUPRA,Born VZ,79.0,112,5.7,160,172,690,50000,50000,47000,Rear Wheel Drive,Towbar not possible,0,4,58562,3
184,VOLKSWAGEN,ID.3 GTX,79.0,112,6.0,180,172,690,50000,50000,47000,Rear Wheel Drive,Towbar not possible,0,4,58562,3
185,AUDI,Q4 e-tron 55 quattro,77.0,160,5.4,180,195,590,59000,64615,57125,All Wheel Drive,Towbar possible,1200,5,71177,2
186,PEUGEOT,e-208 51 kWh,48.1,123,8.2,150,155,480,40325,37170,32400,Front Wheel Drive,Towbar not possible,0,5,40370,1
187,VINFAST,VF 9 Extended Range,123.0,174,6.5,200,237,520,89790,91300,0,All Wheel Drive,Towbar not possible,0,7,51005,3
188,MERCEDES-BENZ,EQB 300 4MATIC,66.5,169,8.0,160,193,500,55519,61379,0,All Wheel Drive,Towbar possible,1700,7,34289,1
189,SKODA,Enyaq 85x,77.0,122,6.6,180,175,660,51150,0,48605,All Wheel Drive,Towbar possible,1000,5,60561,2
190,KIA,e-Soul 64 kWh,64.0,125,7.9,167,173,350,47450,0,39075,Front Wheel Drive,Towbar possible,0,5,48687,2
191,RENAULT,Kangoo E-Tech Electric,45.0,179,12.6,132,205,230,39300,0,0,Front Wheel Drive,Towbar possible,1500,5,41658,1
192,MASERATI,Grecale Folgore,95.0,313,4.1,220,238,440,124301,124600,109905,All Wheel Drive,Towbar possible,1800,5,136941,2
193,POLESTAR,3 Long Range Dual motor,107.0,177,5.0,210,218,640,85590,86950,75900,All Wheel Drive,Towbar possible,2200,5,94571,3
194,LOTUS,Eletre R,109.0,326,2.9,260,240,950,151990,154090,121305,All Wheel Drive,Towbar possible,2250,5,151146,3
